# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3279.8000 F1591 314178 2 1688.8000 wm119 pm106 271 N wm119->t96->pm106
3280.5000 F979 156509 3 2301.5000 wm120 pm106 261 N wm120->t99->t96->pm106
3326.6000 F2958 183705 2 368.6000 wm119 w69 293 N wm119->c35->w69
3427.2000 F449 218118 4 2978.2000 wm118 c48 250 N wm118->c52->c53->t99->c48
3431.0000 F3251 219292 2 180.0000 pm103 c50 297 N pm103->c44->c50
3447.4000 F3184 121935 2 263.4000 wm120 c34 295 N wm120->c48->c34
3468.1000 F3416 366026 1 52.1000 wm118 c55 299 N wm118->c55
3479.1000 F634 154171 2 2845.1000 wm125 cm115 252 N wm125->c44->cm115
3506.7000 F3236 127655 1 270.7000 cm113 p5 295 N cm113->p5
3524.7000 F3520 468636 1 4.7000 wm122 c57 299 N wm122->c57
3533.4000 F269 229202 4 3264.4000 pm103 cm113 245 N pm103->w89->t97->w65->cm113
3560.1000 F3469 144117 1 91.1000 wm123 c46 298 N wm123->c46
3601.7000 F1626 480390 2 1975.7000 wm119 c55 267 N wm119->p28->c55
3606.4000 F3213 359456 1 393.4000 wm119 cm113 293 N wm119->cm113
3607.8000 F663 317455 3 2944.8000 pm105 pm106 250 N pm105->w88->c38->pm106
3614.2000 F3298 442836 1 316.2000 cm111 cm112 294 N cm111->cm112
3656.1000 F950 231958 6 2706.1000 wm118 c52 254 N wm118->w69->t96->t97->w65->w95->c52
3667.6000 M1 618834 5 3635.6000 c42 c46 239 N c42->p11->p4->p26->p14->c46
3680.3000 M11 562047 2 3360.3000 c62 t97 243 N c62->w69->t97
3691.9000 F3497 471389 1 194.9000 wm119 t97 296 N wm119->t97
3694.9000 F942 314519 5 2752.9000 cm110 pm105 254 N cm110->w64->w92->w94->c42->pm105
3698.2000 F3440 321324 1 258.2000 cm110 c33 295 N cm110->c33
3723.3000 F3138 116398 3 585.3000 pm106 p23 290 N pm106->t97->t96->p23
3730.7000 F2658 265788 2 1072.7000 cm116 w87 282 N cm116->c57->w87
3751.0000 F1869 333071 2 1882.0000 wm119 c52 268 N wm119->p28->c52
3752.7000 F3459 363355 1 293.7000 cm111 w84 295 N cm111->w84
3758.7000 F3495 172857 1 263.7000 pm107 c39 295 N pm107->c39
3766.4000 F1104 139031 3 2662.4000 cm114 p28 255 N cm114->t97->t100->p28
3766.9000 F1334 112483 2 2432.9000 cm110 p28 259 N cm110->t100->p28
3769.8000 M15 991397 1 3338.8000 w88 pm107 244 N w88->pm107
3771.7000 F2221 149648 3 1550.7000 wm118 c52 274 N wm118->c58->c41->c52
3821.2000 F646 349029 4 3175.2000 pm105 p6 247 N pm105->c39->w91->c40->p6
3835.6000 F2959 304251 3 876.6000 pm109 w95 285 N pm109->w92->c48->w95
3851.0000 F1616 129099 4 2235.0000 pm106 cm115 262 N pm106->p21->c43->c41->cm115
3857.6000 F1056 206032 4 2801.6000 pm108 c48 253 N pm108->c33->c39->c49->c48
3876.8000 F3154 426604 3 722.8000 pm105 t97 287 N pm105->w74->t98->t97
3891.2000 F3885 327255 1 6.2000 cm117 pm107 299 N cm117->pm107
3896.2000 F650 474020 5 3246.2000 pm103 w77 245 N pm103->w89->p27->w64->t101->w77
3919.7000 F923 318207 4 2996.7000 wm122 c44 250 N wm122->w64->t97->t96->c44
3931.5000 F492 261860 3 3439.5000 cm112 wm120 242 N cm112->p9->t100->wm120
3931.5000 F3840 364256 1 91.5000 cm116 p28 298 N cm116->p28
3932.7000 F2496 322035 3 1436.7000 pm109 w73 276 N pm109->p7->t98->w73
3944.0000 F1011 292252 2 2933.0000 pm108 w92 251 N pm108->p10->w92
3949.0000 F702 227114 2 3247.0000 wm120 p7 245 N wm120->t99->p7
3951.6000 F1471 207613 4 2480.6000 wm121 t96 258 N wm121->w87->c54->c45->t96
3952.4000 M13 693107 4 3573.4000 p23 wm120 240 N p23->c39->w91->t100->wm120
3971.5000 F1590 285696 2 2381.5000 wm119 w80 260 N wm119->t96->w80
3974.7000 F1560 154615 4 2414.7000 wm123 cm112 259 N wm123->w77->p13->t101->cm112
3985.1000 F2016 248681 3 1969.1000 pm103 c40 267 N pm103->p6->t99->c40
3991.2000 F3891 326942 2 100.2000 wm120 w73 298 N wm120->t100->w73
3996.4000 F1372 307475 4 2624.4000 pm102 c43 256 N pm102->c56->p8->w86->c43
4036.4000 F1651 221001 4 2385.4000 wm121 c55 260 N wm121->w86->p24->c59->c55
4043.0000 F1719 405938 3 2324.0000 wm123 w83 261 N wm123->t101->w89->w83
